"Longitude","Latitude"
10325142.6490294,-4164952.15192635
10345142.6490294,-4104952.15192635
10425142.6490294,-4224952.15192635
10295142.6490294,-4154952.15192635
10955142.6490294,-4084952.15192635
10435142.6490294,-4234952.15192635
10935142.6490294,-4094952.15192635
10335142.6490294,-4224952.15192635
10275142.6490294,-4094952.15192635
10455142.6490294,-4224952.15192635
10335142.6490294,-4194952.15192635
10275142.6490294,-4144952.15192635
10285142.6490294,-4134952.15192635
10325142.6490294,-4114952.15192635
10715142.6490294,-4094952.15192635
10305142.6490294,-4124952.15192635
10395142.6490294,-4214952.15192635
10265142.6490294,-4134952.15192635
10405142.6490294,-4234952.15192635
10965142.6490294,-4074952.15192635
10355142.6490294,-4224952.15192635
10485142.6490294,-4204952.15192635
10315142.6490294,-4094952.15192635
10515142.6490294,-4154952.15192635
11075142.6490294,-4064952.15192635
10295142.6490294,-4144952.15192635
10905142.6490294,-4104952.15192635
10435142.6490294,-4224952.15192635
10605142.6490294,-4164952.15192635
10955142.6490294,-4074952.15192635
10635142.6490294,-4134952.15192635
10445142.6490294,-4224952.15192635
10885142.6490294,-4084952.15192635
10375142.6490294,-4044952.15192635
10775142.6490294,-4064952.15192635
10395142.6490294,-3994952.15192635
10255142.6490294,-4114952.15192635
10665142.6490294,-4094952.15192635
10915142.6490294,-4104952.15192635
10335142.6490294,-4094952.15192635
10405142.6490294,-4204952.15192635
10345142.6490294,-4204952.15192635
10475142.6490294,-4214952.15192635
10355142.6490294,-4194952.15192635
10345142.6490294,-4224952.15192635
10445142.6490294,-4214952.15192635
10335142.6490294,-4214952.15192635
10655142.6490294,-4114952.15192635
10405142.6490294,-4084952.15192635
10505142.6490294,-4154952.15192635
10265142.6490294,-4124952.15192635
10255142.6490294,-4134952.15192635
10405142.6490294,-4174952.15192635
10265142.6490294,-4104952.15192635
10495142.6490294,-4204952.15192635
10355142.6490294,-4214952.15192635
10675142.6490294,-4094952.15192635
10375142.6490294,-4204952.15192635
10335142.6490294,-4104952.15192635
10395142.6490294,-4224952.15192635
10295142.6490294,-4064952.15192635
10705142.6490294,-4094952.15192635
10265142.6490294,-4144952.15192635
10315142.6490294,-4154952.15192635
10335142.6490294,-4204952.15192635
10485142.6490294,-4174952.15192635
10345142.6490294,-4134952.15192635
10315142.6490294,-4184952.15192635
10895142.6490294,-4104952.15192635
10725142.6490294,-4104952.15192635
10305142.6490294,-4184952.15192635
10465142.6490294,-4224952.15192635
10255142.6490294,-4144952.15192635
10415142.6490294,-4224952.15192635
10565142.6490294,-4164952.15192635
10365142.6490294,-4214952.15192635
10465142.6490294,-4214952.15192635
10325142.6490294,-4224952.15192635
10295142.6490294,-4164952.15192635
10385142.6490294,-4154952.15192635
10485142.6490294,-4144952.15192635
11005142.6490294,-4094952.15192635
10475142.6490294,-4184952.15192635
10365142.6490294,-4204952.15192635
10325142.6490294,-4214952.15192635
10985142.6490294,-4094952.15192635
10785142.6490294,-4094952.15192635
10285142.6490294,-4094952.15192635
10565142.6490294,-3634952.15192635
10315142.6490294,-4174952.15192635
10495142.6490294,-3884952.15192635
10345142.6490294,-4194952.15192635
10645142.6490294,-4124952.15192635
10295142.6490294,-4124952.15192635
10285142.6490294,-4124952.15192635
10955142.6490294,-4064952.15192635
10695142.6490294,-4104952.15192635
10315142.6490294,-4204952.15192635
10315142.6490294,-4134952.15192635
10945142.6490294,-4094952.15192635
10525142.6490294,-4114952.15192635
10375142.6490294,-4194952.15192635
10295142.6490294,-4194952.15192635
10545142.6490294,-4164952.15192635
10995142.6490294,-4104952.15192635
10715142.6490294,-4084952.15192635
10345142.6490294,-4074952.15192635
10605142.6490294,-4154952.15192635
10265142.6490294,-4114952.15192635
10295142.6490294,-4134952.15192635
10455142.6490294,-4204952.15192635
10655142.6490294,-4124952.15192635
10275142.6490294,-4104952.15192635
10375142.6490294,-4224952.15192635
10285142.6490294,-4144952.15192635
