"Longitude","Latitude"
10565142.6490294,3675047.84807365
9955142.64902937,4835047.84807364
10825142.6490294,5195047.84807365
11095142.6490294,4515047.84807365
9845142.64902937,4815047.84807364
9665142.64902937,5905047.84807365
9175142.64902937,6275047.84807365
12065142.6490294,4175047.84807365
9185142.64902937,6265047.84807365
12295142.6490294,4285047.84807365
8915142.64902937,6285047.84807365
-6224857.35097064,4885047.84807364
11135142.6490294,4545047.84807365
6315142.64902937,4315047.84807365
10625142.6490294,5095047.84807365
11165142.6490294,4525047.84807365
11405142.6490294,5485047.84807365
-8694857.35097063,6025047.84807365
9975142.64902937,4725047.84807364
11585142.6490294,6185047.84807365
11045142.6490294,4535047.84807365
8525142.64902937,5725047.84807365
9345142.64902936,5605047.84807365
9415142.64902937,5565047.84807364
8555142.64902937,5705047.84807365
11035142.6490294,4595047.84807365
8615142.64902937,5815047.84807365
10575142.6490294,5255047.84807365
10865142.6490294,5145047.84807365
-6064857.35097063,4995047.84807365
10815142.6490294,5225047.84807365
10735142.6490294,4795047.84807364
10435142.6490294,4835047.84807364
9985142.64902936,4965047.84807365
9525142.64902937,5445047.84807365
9915142.64902937,4905047.84807364
3575142.64902937,6235047.84807365
10155142.6490294,3665047.84807365
-7774857.35097063,4645047.84807365
10445142.6490294,3705047.84807365
11105142.6490294,4565047.84807365
11045142.6490294,5275047.84807365
9785142.64902937,5025047.84807365
8035142.64902937,5975047.84807364
7695142.64902937,6105047.84807365
7535142.64902937,6175047.84807365
10915142.6490294,5125047.84807365
7945142.64902937,6105047.84807365
9965142.64902937,4415047.84807365
7525142.64902937,6185047.84807365
7565142.64902937,6165047.84807365
9945142.64902937,4405047.84807364
7665142.64902937,6105047.84807365
7425142.64902937,6245047.84807364
7615142.64902937,6135047.84807365
10765142.6490294,5285047.84807365
7545142.64902937,6165047.84807365
11045142.6490294,5265047.84807364
10985142.6490294,5125047.84807365
10755142.6490294,5365047.84807365
8855142.64902936,5955047.84807365
10995142.6490294,5275047.84807365
9685142.64902937,4905047.84807364
11945142.6490294,4205047.84807365
7345142.64902937,6275047.84807365
-7294857.35097063,3915047.84807365
7465142.64902937,6215047.84807364
11905142.6490294,4255047.84807365
5545142.64902937,6935047.84807365
10865142.6490294,5155047.84807365
7685142.64902937,6115047.84807365
8055142.64902937,5965047.84807365
11015142.6490294,5285047.84807365
8075142.64902937,5965047.84807365
7675142.64902936,6125047.84807364
9805142.64902937,4615047.84807364
9865142.64902937,4755047.84807364
11045142.6490294,4625047.84807365
11015142.6490294,4535047.84807365
