"Longitude","Latitude"
815142.649029367,5905047.84807365
925142.649029367,6225047.84807365
935142.649029367,6055047.84807365
845142.649029367,5715047.84807365
605142.649029366,5675047.84807365
835142.649029367,5885047.84807365
695142.649029367,5735047.84807365
835142.649029367,5905047.84807365
815142.649029367,5895047.84807365
905142.649029366,5675047.84807365
895142.649029367,5725047.84807365
825142.649029366,5725047.84807365
565142.649029367,5825047.84807365
815142.649029366,5915047.84807365
855142.649029366,6095047.84807365
1595142.64902937,7085047.84807365
645142.649029366,5765047.84807365
945142.649029366,5765047.84807365
835142.649029367,5895047.84807365
925142.649029367,6815047.84807365
865142.649029367,5715047.84807365
885142.649029366,7535047.84807365
675142.649029367,5535047.84807365
325142.649029367,5965047.84807365
-664857.350970633,4975047.84807365
735142.649029366,6845047.84807365
685142.649029367,6965047.84807365
695142.649029367,6855047.84807364
835142.649029367,5235047.84807365
905142.649029367,5505047.84807365
935142.649029367,5585047.84807365
835142.649029367,5565047.84807364
865142.649029367,6515047.84807364
-24857.3509706333,5085047.84807365
-204857.350970633,5085047.84807365
1295142.64902937,7535047.84807365
795142.649029367,6715047.84807364
865142.649029367,5735047.84807365
845142.649029367,5725047.84807365
835142.649029366,5765047.84807365
1445142.64902937,6925047.84807364
945142.649029367,5755047.84807365
1225142.64902937,7415047.84807365
1125142.64902937,5995047.84807365
1035142.64902937,6045047.84807364
685142.649029367,5855047.84807365
945142.649029367,6335047.84807364
775142.649029367,6275047.84807365
525142.649029367,7125047.84807365
1645142.64902937,5735047.84807365
825142.649029367,6025047.84807365
7105142.64902937,5505047.84807365
2635142.64902937,6445047.84807364
585142.649029367,5825047.84807365
605142.649029367,6085047.84807365
655142.649029367,5955047.84807365
845142.649029367,5735047.84807365
655142.649029367,5755047.84807365
895142.649029367,5665047.84807364
855142.649029367,5895047.84807365
675142.649029367,5675047.84807365
765142.649029367,5885047.84807365
1105142.64902937,6015047.84807365
4685142.64902937,6925047.84807364
915142.649029367,6575047.84807364
865142.649029367,6675047.84807364
845142.649029367,5915047.84807365
1015142.64902937,5995047.84807365
965142.649029367,5755047.84807365
945142.649029367,5945047.84807365
1535142.64902937,6945047.84807365
9265142.64902937,3385047.84807365
935142.649029367,6065047.84807365
1115142.64902937,5965047.84807365
655142.649029367,5895047.84807365
885142.649029367,5715047.84807365
575142.649029367,5785047.84807364
745142.649029367,5775047.84807365
1095142.64902937,6035047.84807365
9245142.64902937,3405047.84807365
715142.649029367,6115047.84807365
955142.649029367,6505047.84807364
995142.649029367,6455047.84807364
1105142.64902937,5995047.84807365
885142.649029367,5705047.84807365
1195142.64902937,6855047.84807364
815142.649029367,6105047.84807365
875142.649029367,5855047.84807365
885142.649029367,5685047.84807365
4695142.64902937,6905047.84807364
805142.649029366,7535047.84807365
635142.649029367,5725047.84807365
975142.649029366,6885047.84807365
915142.649029367,6445047.84807364
2665142.64902936,6375047.84807365
1165142.64902937,6865047.84807365
945142.649029367,6215047.84807364
885142.649029367,5735047.84807365
2635142.64902937,6285047.84807365
915142.649029367,6435047.84807365
485142.649029367,6725047.84807365
835142.649029367,5695047.84807365
955142.649029367,6045047.84807364
885142.649029366,6495047.84807365
7885142.64902937,6195047.84807364
2645142.64902937,6455047.84807364
2625142.64902937,6455047.84807364
1125142.64902937,6005047.84807365
1015142.64902937,5615047.84807365
2695142.64902937,6305047.84807365
625142.649029367,5865047.84807365
655142.649029366,5815047.84807365
905142.649029367,6065047.84807365
1105142.64902937,5975047.84807364
875142.649029367,6075047.84807365
995142.649029367,6475047.84807365
685142.649029367,6145047.84807365
825142.649029367,6215047.84807364
1105142.64902937,5985047.84807365
795142.649029367,6165047.84807365
2005142.64902937,4965047.84807365
825142.649029367,5745047.84807364
845142.649029367,5745047.84807364
1035142.64902937,5985047.84807365
955142.649029367,6015047.84807365
775142.649029367,5845047.84807365
1145142.64902937,6865047.84807365
815142.649029367,6205047.84807364
6705142.64902937,5705047.84807365
4605142.64902937,6925047.84807364
1245142.64902937,7365047.84807365
615142.649029367,5785047.84807364
2505142.64902937,6855047.84807364
795142.649029367,6075047.84807365
2525142.64902937,6465047.84807365
955142.649029366,6125047.84807364
-304857.350970634,4915047.84807364
985142.649029367,5955047.84807365
705142.649029367,5855047.84807365
1055142.64902937,6775047.84807364
665142.649029367,5835047.84807365
2495142.64902937,6875047.84807365
9275142.64902937,3365047.84807365
1225142.64902937,6845047.84807365
1615142.64902937,5765047.84807365
985142.649029367,7235047.84807364
925142.649029366,6005047.84807365
945142.649029367,6485047.84807364
6965142.64902937,6235047.84807365
1945142.64902937,5005047.84807365
795142.649029366,5915047.84807365
865142.649029367,6295047.84807365
855142.649029367,5705047.84807365
1225142.64902937,6855047.84807364
935142.649029367,6705047.84807365
2685142.64902937,6375047.84807365
2615142.64902937,6475047.84807365
-324857.350970633,4875047.84807364
585142.649029366,6095047.84807365
1115142.64902937,5955047.84807365
7935142.64902937,6135047.84807365
945142.649029367,5745047.84807364
7905142.64902936,6295047.84807365
845142.649029367,6035047.84807365
855142.649029367,5755047.84807365
905142.649029367,6425047.84807364
945142.649029367,6475047.84807365
625142.649029367,5875047.84807365
1105142.64902937,6005047.84807365
875142.649029367,5725047.84807365
845142.649029367,6665047.84807365
875142.649029367,6215047.84807364
955142.649029367,6025047.84807365
2695142.64902937,6295047.84807365
1725142.64902937,7235047.84807364
795142.649029367,5695047.84807365
2945142.64902937,5975047.84807364
845142.649029367,6675047.84807364
1085142.64902937,5995047.84807365
915142.649029367,6015047.84807365
1055142.64902937,6015047.84807365
885142.649029366,6025047.84807365
955142.649029367,6435047.84807365
885142.649029367,5645047.84807365
1255142.64902937,6635047.84807364
2095142.64902937,6585047.84807365
1645142.64902937,7445047.84807365
815142.649029367,5885047.84807365
975142.649029367,6505047.84807364
2635142.64902937,6465047.84807365
1145142.64902937,6555047.84807364
695142.649029367,5845047.84807365
1035142.64902937,7505047.84807365
995142.649029367,6925047.84807364
945142.649029366,5795047.84807364
4585142.64902937,7075047.84807365
995142.649029367,5975047.84807364
985142.649029367,6895047.84807365
1125142.64902937,6825047.84807364
855142.649029366,6115047.84807365
925142.649029367,6085047.84807365
6785142.64902937,5695047.84807365
2225142.64902937,6435047.84807365
3495142.64902937,5145047.84807365
995142.649029367,6045047.84807364
745142.649029366,5895047.84807365
825142.649029367,5735047.84807365
1125142.64902937,5985047.84807365
1625142.64902937,7145047.84807364
785142.649029367,6105047.84807365
2745142.64902937,6285047.84807365
-314857.350970634,4885047.84807364
1235142.64902937,7375047.84807364
555142.649029367,5845047.84807365
1855142.64902937,5185047.84807365
8335142.64902937,6105047.84807365
825142.649029367,5755047.84807365
1015142.64902937,6825047.84807364
1105142.64902937,7125047.84807365
795142.649029367,5965047.84807365
1085142.64902937,6015047.84807365
1005142.64902937,5635047.84807365
835142.649029367,6055047.84807365
945142.649029367,5995047.84807365
565142.649029367,7115047.84807364
1545142.64902937,6975047.84807364
1225142.64902937,5695047.84807365
945142.649029367,6075047.84807365
905142.649029367,5685047.84807365
2765142.64902937,5875047.84807365
3425142.64902937,5155047.84807365
2745142.64902937,6265047.84807365
355142.649029367,6795047.84807364
8035142.64902937,7115047.84807364
795142.649029366,6645047.84807365
855142.649029367,5975047.84807364
1445142.64902937,7005047.84807364
885142.649029367,6055047.84807365
1075142.64902937,5965047.84807365
1115142.64902937,6025047.84807365
885142.649029367,5615047.84807365
735142.649029367,6205047.84807364
985142.649029366,6135047.84807365
795142.649029366,5605047.84807365
895142.649029367,6565047.84807365
705142.649029367,5535047.84807365
755142.649029366,5675047.84807365
905142.649029367,5715047.84807365
635142.649029367,5685047.84807365
615142.649029367,5645047.84807365
545142.649029367,5825047.84807365
3025142.64902937,5985047.84807365
695142.649029367,6875047.84807365
-554857.350970633,5125047.84807365
805142.649029367,7525047.84807365
3505142.64902937,5155047.84807365
695142.649029367,6865047.84807365
895142.649029367,5565047.84807364
-434857.350970633,5155047.84807365
2725142.64902937,6435047.84807365
895142.649029367,5585047.84807365
375142.649029367,6775047.84807364
3965142.64902937,4965047.84807365
855142.649029366,7545047.84807365
2825142.64902937,6505047.84807364
1635142.64902937,7205047.84807364
675142.649029367,6165047.84807365
6615142.64902937,5785047.84807364
825142.649029367,7035047.84807365
2645142.64902937,6485047.84807364
6585142.64902937,5925047.84807364
-564857.350970633,5175047.84807365
7695142.64902936,6095047.84807365
6445142.64902937,5975047.84807364
3315142.64902937,5855047.84807365
7765142.64902937,6025047.84807365
195142.649029367,5985047.84807365
425142.649029367,5895047.84807365
1715142.64902937,6785047.84807364
385142.649029367,6765047.84807365
305142.649029367,5965047.84807365
325142.649029367,5985047.84807365
305142.649029367,5955047.84807365
1635142.64902937,6825047.84807364
1585142.64902937,6735047.84807365
345142.649029367,5975047.84807364
1655142.64902937,6695047.84807364
655142.649029367,7215047.84807364
315142.649029367,5925047.84807364
1645142.64902937,6795047.84807364
1735142.64902937,6765047.84807365
4145142.64902937,6575047.84807364
-404857.350970633,4215047.84807365
1695142.64902937,6805047.84807365
375142.649029367,5955047.84807365
1745142.64902937,6735047.84807365
11715142.6490294,5095047.84807365
1605142.64902937,6825047.84807364
235142.649029367,6005047.84807365
1525142.64902937,6765047.84807365
325142.649029367,5975047.84807364
12145142.6490294,4345047.84807365
335142.649029367,6015047.84807365
455142.649029367,5935047.84807364
325142.649029367,5955047.84807365
11665142.6490294,5125047.84807365
355142.649029367,5945047.84807365
665142.649029367,7225047.84807364
425142.649029367,5935047.84807364
10805142.6490294,5155047.84807365
325142.649029367,5995047.84807365
1785142.64902937,6715047.84807364
395142.649029367,5895047.84807365
415142.649029367,5975047.84807364
3845142.64902937,5995047.84807365
3665142.64902937,5065047.84807365
435142.649029367,5905047.84807365
415142.649029367,5905047.84807365
635142.649029367,6765047.84807365
345142.649029367,6005047.84807365
-164857.350970633,4575047.84807365
395142.649029367,5985047.84807365
455142.649029367,5925047.84807364
3445142.64902937,5885047.84807365
755142.649029367,7025047.84807365
715142.649029366,6885047.84807365
-634857.350970634,4825047.84807364
1155142.64902937,5905047.84807365
1245142.64902937,5785047.84807364
735142.649029367,6835047.84807365
695142.649029367,6815047.84807365
785142.649029366,6885047.84807365
625142.649029367,6865047.84807365
565142.649029367,7055047.84807365
675142.649029367,6865047.84807365
755142.649029367,6995047.84807365
725142.649029367,6235047.84807365
605142.649029367,6875047.84807365
715142.649029367,6795047.84807364
765142.649029367,6795047.84807364
1345142.64902937,5765047.84807365
755142.649029366,6835047.84807365
805142.649029367,7005047.84807364
805142.649029367,6995047.84807365
745142.649029367,6795047.84807364
775142.649029367,6855047.84807364
655142.649029367,6855047.84807364
715142.649029367,6825047.84807364
345142.649029367,6915047.84807364
725142.649029367,7045047.84807364
665142.649029367,7095047.84807365
665142.649029366,6845047.84807365
1065142.64902937,5895047.84807365
3405142.64902937,5935047.84807364
655142.649029367,6865047.84807365
655142.649029367,5565047.84807364
675142.649029367,7105047.84807365
1045142.64902937,5775047.84807365
735142.649029367,7055047.84807365
325142.649029367,6945047.84807365
715142.649029367,6815047.84807365
925142.649029366,7645047.84807365
735142.649029367,7095047.84807365
515142.649029367,7055047.84807365
455142.649029367,6695047.84807364
675142.649029367,6855047.84807364
685142.649029367,7065047.84807364
755142.649029367,7035047.84807365
715142.649029367,6835047.84807365
665142.649029367,6875047.84807365
1475142.64902937,6405047.84807364
735142.649029367,6825047.84807364
705142.649029367,7005047.84807364
1145142.64902937,5845047.84807365
735142.649029367,6895047.84807365
735142.649029367,6995047.84807365
1175142.64902937,5825047.84807365
455142.649029367,6965047.84807365
675142.649029366,7055047.84807365
3605142.64902937,6225047.84807365
1275142.64902937,5795047.84807364
1275142.64902937,5805047.84807364
735142.649029367,6875047.84807365
795142.649029366,7015047.84807365
765142.649029366,6845047.84807365
475142.649029367,6685047.84807364
