"Longitude","Latitude"
-10214857.3509706,4715047.84807365
-9634857.35097063,5235047.84807365
-9524857.35097063,5135047.84807365
-9884857.35097063,5215047.84807364
-9494857.35097063,5135047.84807365
-9854857.35097063,5075047.84807365
-9804857.35097063,5125047.84807365
-9864857.35097064,5035047.84807365
-9684857.35097063,5145047.84807365
-9274857.35097064,5705047.84807365
-9634857.35097063,5205047.84807365
-9634857.35097063,5185047.84807365
-9744857.35097063,5125047.84807365
-9774857.35097063,5115047.84807365
-10254857.3509706,4755047.84807364
-9674857.35097064,5015047.84807364
-10244857.3509706,4575047.84807365
-10254857.3509706,4595047.84807365
-9934857.35097064,5055047.84807364
-9984857.35097063,5085047.84807365
-9934857.35097063,5045047.84807365
-9964857.35097063,5055047.84807364
-9924857.35097063,5065047.84807365
-9564857.35097064,5025047.84807365
-9774857.35097063,5225047.84807365
-9554857.35097063,5035047.84807365
-9964857.35097064,5175047.84807365
-10104857.3509706,4955047.84807365
-10094857.3509706,4925047.84807364
-10094857.3509706,4935047.84807364
-10134857.3509706,4975047.84807365
-10114857.3509706,4925047.84807364
-10204857.3509706,4795047.84807364
-10234857.3509706,4785047.84807364
-10234857.3509706,4765047.84807364
-10254857.3509706,4575047.84807365
-10264857.3509706,4805047.84807364
-9964857.35097063,4955047.84807365
-10004857.3509706,4935047.84807364
-9944857.35097063,4995047.84807365
-9534857.35097064,5165047.84807365
-10464857.3509706,3105047.84807365
-9674857.35097064,4975047.84807365
-10174857.3509706,4845047.84807364
-10204857.3509706,4845047.84807364
-10144857.3509706,4895047.84807364
-9674857.35097063,4995047.84807365
-10104857.3509706,4865047.84807364
-10184857.3509706,4785047.84807364
-10074857.3509706,4885047.84807364
-10194857.3509706,4755047.84807364
-10234857.3509706,4715047.84807365
-10014857.3509706,4985047.84807365
-9094857.35097063,5135047.84807365
-10104857.3509706,4875047.84807364
